Company,Degree,Degree1,Degree2,Department,Designation,Email,Employees,Function,Industry,Institutions,Institutions1,Institutions2,Name,Phone,Questions,Revenue,Salary,Technical_skills,Year_of_experience,_id,app_id,cl,created_at,customers,eff_score,imp_score,isread,level,que_optional,res_score,resume_id,role_name,roleid,token,updated_at
Abbot,"[""Bachelor of Architecture"", ""Advanced diploma in Dredging technology"", ""Bachelor of Arts (General) (BA)""]","","",ff,dd,aanchal@algowire.com,6,"Administration
","Automotive
","[""Ahmedabad University"", ""Adamas University"", ""Ahmedabad University""]","","",Rohit,7777777777,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",6.0,6.0,"[""java""]",6.0,"{""$oid""=>""5bab27e60387c3151c57c3f8""}",app_id_1537943526099,10,2018-09-26T06:32:06.726Z,Regional (1-5 States),19,0.0,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},19,5bab27e60387c3151c57c3f6,hr,role_1537942751480,"",2018-09-26T06:32:19.512Z
ABB,"[""Bachelor of Architecture"", ""Bachelor of Arts Acient Indian Culture (BA)"", ""Bachelor of Arts Arabic (Honors) (BA)""]","","",ss,dd,aanchal@algowire.com,5,"Administration
","Automotive
","[""AISECT University, Jharkhand"", ""Abhilashi University"", ""Al-Falah University""]","","",Gauri,5555555555,"{""que1""=>""2"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",5.0,5.0,"[""java""]",5.0,"{""$oid""=>""5bab2f790387c31a7f5d3077""}",app_id_1537945465113,10,2018-09-26T07:04:25.790Z,Regional (1-5 States),19,0.0,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},29,5bab2f790387c31a7f5d3075,hr,role_1537942751480,"",2018-09-28T06:21:28.838Z
Aditya Birla Retail,"[""Bachelor of Arts Economics (BA)"", ""Bachelor of Arts Folklore (BA)""]","","",h,dd,aanchal@algowire.com,6,"Administration
","Automotive
","[""Acharya N. G. Ranga Agricultural University"", ""Aliah University""]","","",Ishita,7777777777,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""1"", ""que5""=>""1"", ""que6""=>""1"", ""que7""=>""1"", ""que8""=>""3"", ""que9""=>""3"", ""que10""=>""2"", ""que11""=>""1"", ""que12""=>""2"", ""que13""=>""1"", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""1"", ""que18""=>""0"", ""que19""=>""0""}",5.0,5.0,"[""hgggg""]",5.0,"{""$oid""=>""5bab2fea0387c31a7f5d307a""}",app_id_1537945577487,12,2018-09-26T07:06:18.122Z,Regional (1-5 States),36,5.15,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},40,5bab2fe90387c31a7f5d3078,hr,role_1537942751480,"",2018-09-28T10:08:56.964Z
Adventz Infra,"[""Advanced diploma in Dredging technology"", ""Bachelor of Business Administration (Hospitality Managment) (BBA)""]","","",ff,dd,aan@gmail.com,5,"Administration
","Automotive
","[""Amity University, Jaipur"", ""Amity University, Lucknow""]","","",Bhumi,1111111111,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""1"", ""que5""=>""1"", ""que6""=>""1"", ""que7""=>""1"", ""que8""=>""3"", ""que9""=>""3"", ""que10""=>""3"", ""que11""=>""1"", ""que12""=>""3"", ""que13""=>""2"", ""que14""=>""1"", ""que15""=>""1"", ""que16""=>""1"", ""que17""=>""1"", ""que18""=>""0"", ""que19""=>""0""}",5.0,6.0,"[""android""]",5.0,"{""$oid""=>""5bab307c0387c31a7f5d307d""}",app_id_1537945723504,12,2018-09-26T07:08:44.073Z,Regional (1-5 States),39,20.6,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},40,5bab307b0387c31a7f5d307b,hr,role_1537942751480,"",2018-09-28T10:09:44.070Z
Abhisar Buildwell,"[""Bachelor of Architecture""]","","",FF,CC,aanchal.srivastava@gmail.com,5,"Administration
","Automotive
","[""Ahmedabad University""]","","",Anamika,5555555555,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""1"", ""que5""=>""1"", ""que6""=>""1"", ""que7""=>""1"", ""que8""=>""3"", ""que9""=>""3"", ""que10""=>""3"", ""que11""=>""1"", ""que12""=>""3"", ""que13""=>""2"", ""que14""=>""1"", ""que15""=>""1"", ""que16""=>""1"", ""que17""=>""1"", ""que18""=>""1"", ""que19""=>""1""}",7.0,5.0,"[""Android""]",5.0,"{""$oid""=>""5bac77000387c360b1d07a38""}",app_id_1538029311918,13,2018-09-27T06:21:52.558Z,Regional (1-5 States),39,33.9,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},40,5bac76ff0387c360b1d07a36,hr,role_1537942751480,"",2018-09-28T06:59:06.754Z
ACC,"[""Advanced diploma in Dredging technology""]","","",FF,FF,aan987@aan.com,6,"Administration
","Automotive
","[""Abhilashi University""]","","",Ishu,2222222222,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""1"", ""que5""=>""1"", ""que6""=>""1"", ""que7""=>""1"", ""que8""=>""3"", ""que9""=>""3"", ""que10""=>""3"", ""que11""=>""1"", ""que12""=>""3"", ""que13""=>""2"", ""que14""=>""1"", ""que15""=>""1"", ""que16""=>""0"", ""que17""=>""1"", ""que18""=>""0"", ""que19""=>""0""}",6.0,7.0,"[""java""]",6.0,"{""$oid""=>""5bac7ca10387c35e357d6c72""}",app_id_1538030752762,12,2018-09-27T06:45:53.300Z,Regional (1-5 States),39,16.95,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},40,5bac7ca00387c35e357d6c70,hr,role_1537942751480,"",2018-09-27T07:15:44.847Z
ABB,"[""Advanced diploma in Dredging technology""]","","",ff,dd,aa@aa.com,5,"Administration
","Automotive
","[""Academy of Scientific and Innovative Research""]","","",Aanchal,3333333333,"{""que1""=>""2"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",6.0,7.0,"[""java""]",5.0,"{""$oid""=>""5bac8e1e0387c35e357d6c76""}",app_id_1538035230242,10,2018-09-27T08:00:30.697Z,Regional (1-5 States),19,0.0,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},29,5bac8e1e0387c35e357d6c74,hr,role_1537942751480,"",2018-09-28T06:19:52.221Z
Abhisar Buildwell,"[""Bachelor of Architecture""]","","",SS,GM,aanchal@prophecis.com,5,"Administration
","Automotive
","[""Abhilashi University""]","","",Dipti,4444444444,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""1"", ""que5""=>""1"", ""que6""=>""1"", ""que7""=>""1"", ""que8""=>""3"", ""que9""=>""3"", ""que10""=>""3"", ""que11""=>""1"", ""que12""=>""3"", ""que13""=>""2"", ""que14""=>""1"", ""que15""=>""1"", ""que16""=>""1"", ""que17""=>""1"", ""que18""=>""1"", ""que19""=>""1""}",5.0,6.0,"[""java""]",5.0,"{""$oid""=>""5baced7b0387c31ff9ba8b2c""}",app_id_1538059642587,13,2018-09-27T14:47:23.335Z,Regional (1-5 States),39,30.900000000000002,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},40,5baced7a0387c31ff9ba8b2a,hr,role_1537942751480,"",2018-09-27T14:47:29.228Z
Wipro Technologies,"[""zz""]","","",z,zz,stutivermaa@gmail.com,233,"Credit
","BFSI
","[""zz""]","","",Stuti,1234567890,"{""que1""=>""1"", ""que2""=>""0"", ""que3""=>""0"", ""que4""=>""1"", ""que5""=>""1"", ""que6""=>""1"", ""que7""=>""1"", ""que8""=>""1"", ""que9""=>""1"", ""que10""=>""1"", ""que11""=>""1"", ""que12""=>""1"", ""que13""=>""1"", ""que14""=>""0"", ""que15""=>""1"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",233.0,12.0,"[""zz""]",3.0,"{""$oid""=>""5bacef300387c31ff9ba8b30""}",app_id_1538060078326,11,2018-09-27T14:54:40.576Z,National (5+ States),26,8.100000000000001,true,Junior Management (Typically entry level professionals),{},36,5bacef2e0387c31ff9ba8b2e,hr,role_1537942751480,"",2018-09-27T14:54:53.419Z
Almatis Alumina,"[""MBA""]","","",aa,Manager,stutiv2015@email.iimcal.ac.in,300,"Customer Care - Call Centre
","Chemicals
","[""IIMC""]","","",Stuti Verma,1234567890,"{""que1""=>""2"", ""que2""=>""0"", ""que3""=>""0"", ""que4""=>""1"", ""que5""=>""1"", ""que6""=>""1"", ""que7""=>""1"", ""que8""=>""3"", ""que9""=>""3"", ""que10""=>""2"", ""que11""=>""1"", ""que12""=>""3"", ""que13""=>""2"", ""que14""=>""0"", ""que15""=>""2"", ""que16""=>""1"", ""que17""=>""1"", ""que18""=>""1"", ""que19""=>""1""}",345.0,24.0,"[""aa""]",4.0,"{""$oid""=>""5badc3970387c31ff9ba8b33""}",app_id_1538114453645,14,2018-09-28T06:00:55.525Z,National (5+ States),38,48.6,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},46,5badc3950387c31ff9ba8b31,hr,role_1537942751480,"",2018-09-28T06:08:58.782Z
