Company,Degree,Degree1,Degree2,Department,Designation,Email,Employees,Function,Industry,Institutions,Institutions1,Institutions2,Name,Phone,Questions,Revenue,Salary,Technical_skills,Year_of_experience,_id,app_id,cl,created_at,customers,eff_score,imp_score,isread,level,que_optional,res_score,resume_id,role_name,roleid,token,updated_at
3M,Advanced diploma in Dredging technology,"","",hh,dd,aanchal@algowire.com,6,"Administration
","Automotive
",Academy of Scientific and Innovative Research,"","",Aanchal,6666666666,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",7.0,7.0,"[""java""]",6.0,"{""$oid""=>""5ba8ab54a4f27ff6a72d58ec""}",app_id_1537780563172,10,2018-09-24T09:16:04.436Z,Regional (1-5 States),19,0.0,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},19,5ba8ab53a4f27ff6a72d58ea,HR Manager,role_1537780484640,"",2018-10-08T08:11:13.060Z
Abbot,Advanced diploma in Dredging technology,"","",hh,dd,aanchal@algowire.com,5,"Administration
","Accounting
",Academy of Scientific and Innovative Research,"","",Aanchal,5555555555,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",5.0,6.0,"[""java""]",5.0,"{""$oid""=>""5baa2a6aa4f27f93b26e0c62""}",app_id_1537878633671,10,2018-09-25T12:30:34.559Z,Regional (1-5 States),19,0.0,true,Middle Management (If you have someone reporting to you who is NOT a workman),{},19,5baa2a69a4f27f93b26e0c60,HR Manager,role_1537780484640,"",2018-10-08T08:53:50.717Z
ABB,Advanced diploma in Dredging technology,"","",yy,dd,aanchal@algowire.com,6,"Administration
","Automotive
",Academy of Scientific and Innovative Research,"","",Prankur,5555555555,"{""que1""=>""0"", ""que2""=>""0"", ""que3""=>""0"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",6.0,6.0,"[""java""]",6.0,"{""$oid""=>""5baa2ae3a4f27f93b26e0c69""}",app_id_1537878754119,9,2018-09-25T12:32:35.216Z,Regional (1-5 States),19,0.0,true,Middle Management (If you have someone reporting to you who is NOT a workman),"{""Location""=>[""gg""]}",10,5baa2ae2a4f27f93b26e0c67,Developer,role_1537878696479,"",2018-10-06T12:19:18.724Z
Abhisar Buildwell,Advanced diploma in Dredging technology,"","",gg,gm,aan@gmail.com,555,"Fashion Design
","Textiles
",Adamas University,"","",Anaya,5555555555,"{""que1""=>""6"", ""que2""=>""2"", ""que3""=>""2"", ""que4""=>""2"", ""que5""=>""2"", ""que6""=>""2"", ""que7""=>""2"", ""que8""=>""4"", ""que9""=>""5"", ""que10""=>""7"", ""que11""=>""7"", ""que12""=>""6"", ""que13""=>""5"", ""que14""=>""3"", ""que15""=>""3"", ""que16""=>""3"", ""que17""=>""3"", ""que18""=>""2"", ""que19""=>""3""}",5555555555.0,7.0,"[""ggg""]",5.0,"{""$oid""=>""5baf5f3ba4f27fd7da7a1680""}",app_id_1538219834033,29,2018-09-29T11:17:15.236Z,Regional (1-5 States),101,277.2,true,Senior Management (Typically third level),"{""Location""=>[""Delhi""]}",139,5baf5f3aa4f27fd7da7a167e,Developer,role_1537878696479,"",2018-10-08T08:02:02.319Z
Aditya Birla Retail,Bachelor of Arts Acient Indian Culture (BA),"","",tt,dd,aan@gmail.com,5555,"Administration
","Automotive
",Ahmedabad University,"","",Swati,8888888888,"{""que1""=>""0"", ""que2""=>""0"", ""que3""=>""0"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",666666.0,8.0,"[""jjj""]",7.0,"{""$oid""=>""5baf602ba4f27fd7da7a1683""}",app_id_1538220074795,9,2018-09-29T11:21:15.665Z,Regional (1-5 States),19,0.0,true,Middle Management (If you have someone reporting to you who is NOT a workman),"{""Location""=>[""ghh""]}",10,5baf602aa4f27fd7da7a1681,Developer,role_1537878696479,"",2018-10-29T12:14:33.612Z
Aditya Birla Retail,Bachelor of Arts (General) (BA),"","",hh,dd,aan444@aan.com,5,"Engineering
","Chemicals
",Ajeenkya DY Patil University,"","",Amaira,6666666666,"{""que1""=>""6"", ""que2""=>""2"", ""que3""=>""2"", ""que4""=>""1"", ""que5""=>""2"", ""que6""=>""1"", ""que7""=>""2"", ""que8""=>""5"", ""que9""=>""5"", ""que10""=>""4"", ""que11""=>""5"", ""que12""=>""4"", ""que13""=>""5"", ""que14""=>""3"", ""que15""=>""2"", ""que16""=>""2"", ""que17""=>""3"", ""que18""=>""3"", ""que19""=>""3""}",777.0,8.0,"[""hgggg""]",6.0,"{""$oid""=>""5baf620fa4f27fd7da7a1686""}",app_id_1538220558319,21,2018-09-29T11:29:19.273Z,Regional (1-5 States),71,142.0,true,Senior Management (Typically third level),"{""Location""=>[""aa""]}",105,5baf620ea4f27fd7da7a1684,Developer,role_1537878696479,"",2018-10-30T06:45:11.282Z
Apex Tool,Bachelor of Arts (General) (BA),"","",dd,dd,aa@gmail.com,3,"Administration
","Automotive
",All India Institute of Medical Sciences (AIIMS) Bhubaneswar,"","",Ananya,5555555555,"{""que1""=>""0"", ""que2""=>""0"", ""que3""=>""0"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",10.0,9.0,"[""hgggg""]",6.0,"{""$oid""=>""5baf6407a4f27fd7da7a1689""}",app_id_1538221062178,9,2018-09-29T11:37:43.003Z,Regional (1-5 States),19,0.0,"",Middle Management (If you have someone reporting to you who is NOT a workman),"{""Location""=>[""xx""]}",10,5baf6406a4f27fd7da7a1687,Developer,role_1537878696479,"",2018-09-29T11:37:43.003Z
Ajmera Realty & Infra,Bachelor of Arts Economics (BA),"","",ss,dd,aa@gmail.com,55555,"Construction
","Construction
",AKS University,"","",Samaira,6666666666,"{""que1""=>""0"", ""que2""=>""0"", ""que3""=>""0"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""0""}",77777777777.0,8.0,"[""kk""]",6.0,"{""$oid""=>""5baf646fa4f27fd7da7a168c""}",app_id_1538221166859,9,2018-09-29T11:39:27.872Z,Regional (1-5 States),19,0.0,"",Middle Management (If you have someone reporting to you who is NOT a workman),"{""Location""=>[""zz""]}",10,5baf646ea4f27fd7da7a168a,Developer,role_1537878696479,"",2018-09-29T11:39:27.872Z
3M,Advanced diploma in Dredging technology,"","",xx,dd,aan@gmail.com,555,"Administration
","Automotive
",Academy of Scientific and Innovative Research,"","",Shweta,5555555555,"{""que1""=>""1"", ""que2""=>""1"", ""que3""=>""1"", ""que4""=>""1"", ""que5""=>""1"", ""que6""=>""1"", ""que7""=>""1"", ""que8""=>""3"", ""que9""=>""3"", ""que10""=>""3"", ""que11""=>""1"", ""que12""=>""3"", ""que13""=>""2"", ""que14""=>""1"", ""que15""=>""1"", ""que16""=>""0"", ""que17""=>""1"", ""que18""=>""1"", ""que19""=>""1""}",5555555555.0,6.0,"[""java""]",6.0,"{""$oid""=>""5bb1bed0a4f27fdcb185cd22""}",app_id_1538375375780,14,2018-10-01T06:29:36.696Z,Regional (1-5 States),39,68.0,"",Middle Management (If you have someone reporting to you who is NOT a workman),"{""Location""=>[""Delhi""]}",40,5bb1becfa4f27fdcb185cd20,Developer,role_1537878696479,c7e473c3fd618a19246ed3713af62088,2018-10-01T06:29:36.696Z
ABB,Advanced diploma in Dredging technology,"","",dd,ff,aanchal@prophecis.com,5,"Corporate Affairs
","Automotive
",Academy of Scientific and Innovative Research,"","",Naira,4444444444,"{""que1""=>""0"", ""que2""=>""0"", ""que3""=>""0"", ""que4""=>""0"", ""que5""=>""0"", ""que6""=>""0"", ""que7""=>""0"", ""que8""=>""2"", ""que9""=>""2"", ""que10""=>""2"", ""que11""=>""0"", ""que12""=>"""", ""que13""=>"""", ""que14""=>""0"", ""que15""=>""0"", ""que16""=>""0"", ""que17""=>""0"", ""que18""=>""0"", ""que19""=>""1""}",6.0,6.0,"[""java""]",5.0,"{""$oid""=>""5bb75068a4f27f33c94ce304""}",app_id_1538740327739,10,2018-10-05T11:52:08.168Z,Regional (1-5 States),19,5.6499999999999995,"",Middle Management (If you have someone reporting to you who is NOT a workman),"{""Location""=>[""dd""]}",10,5bb75067a4f27f33c94ce302,Developer,role_1537878696479,92ba06fcc4495fb514440beb0b1d1e02,2018-10-05T11:52:08.168Z
